id,url,title,date,origin,kind1,kind2,kind3,kind4,kind5,kind6,kind7,kind8,kind9,kind10,kind11
20256303,http://jhsjk.people.cn/article/20256303,中共中央国务院隆重举行国家科学技术奖励大会,2013-1-19 0:00,人民网－人民日报,会议,,,,,,,,,,
20286228,http://jhsjk.people.cn/article/20286228,习近平在十八届中央纪委二次全会上发表重要讲话,2013-1-22 0:00,新华网,会议,,,,,,,,,,
20286897,http://jhsjk.people.cn/article/20286897,习近平在十八届中央纪委二次全会上发表重要讲话,2013-1-22 0:00,新华网,会议,,,,,,,,,,
20288751,http://jhsjk.people.cn/article/20288751,习近平：把权力关进制度的笼子里,2013-1-22 0:00,新华网,讲话,,,,,,,,,,
20289660,http://jhsjk.people.cn/article/20289660,习近平在十八届中央纪委二次全会上发表重要讲话,2013-1-22 0:00,新华网,讲话,,,,,,,,,,
20289672,http://jhsjk.people.cn/article/20289672,习近平：决不允许“上有政策、下有对策”,2013-1-22 0:00,新华网,讲话,,,,,,,,,,
20292472,http://jhsjk.people.cn/article/20292472,习近平：科学有效防治腐败 坚定不移把反腐倡廉建设引向深入,2013-1-23 0:00,人民网－人民日报,讲话,原文,,,,,,,,,
20303900,http://jhsjk.people.cn/article/20303900,习近平会见韩国候任总统特使金武星,2013-1-23 0:00,新华网,会见,,,,,,,,,,
20306629,http://jhsjk.people.cn/article/20306629,习近平会见韩国候任总统特使,2013-1-24 0:00,人民网－人民日报,会见,,,,,,,,,,
20326998,http://jhsjk.people.cn/article/20326998,习近平会见日本公明党党首山口那津男,2013-1-25 0:00,新华网,会见,,,,,,,,,,
20332500,http://jhsjk.people.cn/article/20332500,习近平会见日本公明党党首山口那津男,2013-1-26 0:00,人民网－人民日报,会见,,,,,,,,,,
20349460,http://jhsjk.people.cn/article/20349460,中共中央政治局召开会议 习近平主持,2013-1-28 0:00,新华网,会议,,,,,,,,,,
20354668,http://jhsjk.people.cn/article/20354668,中共中央政治局召开会议 中共中央总书记习近平主持,2013-1-29 0:00,人民网－人民日报,会议,,,,,,,,,,
20361380,http://jhsjk.people.cn/article/20361380,习近平：更好统筹国内国际两个大局 夯实走和平发展道路的基础,2013-1-29 0:00,新华网,活动,,,,,,,,,,
20366409,http://jhsjk.people.cn/article/20366409,习近平：建设听党指挥能打胜仗作风优良的现代化武装警察部队,2013-1-29 0:00,新华网,考察,,,,,,,,,,
20368860,http://jhsjk.people.cn/article/20368860,习近平：建设听党指挥能打胜仗作风优良的现代化武装警察部队,2013-1-30 0:00,人民网－人民日报,考察,,,,,,,,,,
20368861,http://jhsjk.people.cn/article/20368861,习近平：更好统筹国内国际两个大局 夯实走和平发展道路的基础,2013-1-30 0:00,人民网－人民日报,会议,,,,,,,,,,
20369491,http://jhsjk.people.cn/article/20369491,组图：习近平视察武警部队,2013-1-30 0:00,新华社,考察,,,,,,,,,,
20380287,http://jhsjk.people.cn/article/20380287,中央军委举行慰问驻京部队老干部迎新春文艺演出 习近平向全军老同志祝贺新春,2013-1-30 0:00,新华网,活动,,,,,,,,,,
20383288,http://jhsjk.people.cn/article/20383288,习近平出席中央军委慰问驻京部队老干部迎新春文艺演出,2013-1-31 0:00,人民网－人民日报,活动,,,,,,,,,,
20441274,http://jhsjk.people.cn/article/20441274,习近平：要多到群众最需要的地方去解决问题,2013-2-5 0:00,新华网,考察,,,,,,,,,,
20445213,http://jhsjk.people.cn/article/20445213,农家小院里的“脱贫研讨会”（图）,2013-2-6 0:00,新华社,考察,,,,,,,,,,
20445227,http://jhsjk.people.cn/article/20445227,习近平看望八旬老党员马岗（图）,2013-2-6 0:00,新华社,考察,,,,,,,,,,
